doc_id,text
1,Machine learning improves business decision making
2,Web analytics helps understand user behavior
3,Social media data provides customer sentiment insights
4,Topic modeling discovers hidden themes in documents
5,Text mining extracts useful patterns from unstructured data
6,Predictive analytics forecasts future outcomes
7,Dashboards support real time analytics
8,Big data technologies enable scalable analytics
9,Ethics and privacy are important in data analytics
10,Visualization improves analytical storytelling
